iter	Passed	Remaining
394	58697	89903
395	58819	89715
396	58955	89546
397	59089	89375
398	59233	89221
399	59363	89044
400	59493	88869
401	59612	88677
402	59735	88490
403	59862	88312
404	59983	88124
405	60113	87948
406	60226	87750
407	60350	87567
408	60477	87388
409	60596	87199
410	60724	87023
411	60857	86854
412	60986	86680
413	61126	86522
414	61247	86336
415	61374	86159
416	61494	85974
417	61626	85804
418	61753	85629
419	61883	85458
420	62008	85280
421	62139	85109
422	62275	84947
423	62404	84775
424	62532	84602
425	62657	84425
426	62780	84247
427	62901	84064
428	63018	83877
429	63141	83699
430	63268	83526
431	63397	83356
432	63531	83192
433	63670	83036
434	63809	82879
435	63947	82720
436	64072	82546
437	64175	82344
438	64337	82216
439	64479	82065
440	65191	82634
441	65603	82820
442	65824	82763
443	65976	82619
444	66139	82488
445	66303	82359
446	66577	82365
447	66706	82191
448	66912	82112
449	67087	81995
450	67192	81793
451	67305	81600
452	67425	81416
453	67523	81207
454	67638	81018
455	67759	80835
456	67879	80653
457	67993	80464
458	68097	80263
459	68208	80071
460	68297	79852
461	68406	79659
462	68520	79472
463	68608	79255
464	68724	79070
465	68841	78887
466	68932	78674
467	69039	78481
468	69126	78264
469	69232	78070
470	69339	77878
471	69454	77695
472	69563	77504
473	69674	77317
474	69784	77129
475	69876	76922
476	69996	76747
477	70109	76562
478	70225	76383
479	70349	76211
480	70455	76021
481	70565	75835
482	70652	75625
483	70754	75431
484	70838	75220
485	70940	75027
486	71025	74817
487	71136	74634
488	71246	74452
489	71339	74251
490	71433	74052
491	71542	73868
492	71657	73692
493	71776	73520
494	71883	73335
495	71993	73154
496	72101	72972
497	72189	72769
498	72302	72592
499	72406	72406
500	72488	72198
501	72576	71997
502	72687	71820
503	72798	71642
504	72908	71465
505	73021	71289
506	73112	71093
507	73226	70920
508	73350	70756
509	73456	70576
510	73563	70396
511	73670	70217
512	73772	70033
513	73882	69857
514	73994	69683
515	74101	69506
516	74212	69331
517	74320	69155
518	74435	68985
519	74546	68812
520	74653	68635
521	74763	68461
522	74868	68283
523	74972	68105
524	75076	67926
525	75190	67757
526	75294	67579
527	75400	67403
528	75502	67224
529	75612	67052
530	75719	66878
531	75830	66708
532	75944	66540
533	76053	66368
534	76163	66198
535	76273	66027
536	76385	65859
537	76491	65685
538	76596	65511
539	76699	65336
540	76802	65161
541	76903	64984
542	77006	64810
543	77119	64644
544	77228	64475
545	77349	64316
546	77459	64148
547	77569	63980
548	77678	63812
549	77788	63645
550	77905	63483
551	77992	63298
552	78106	63135
553	78208	62962
554	78318	62795
555	78419	62622
556	78526	62454
557	78635	62287
558	78743	62121
559	78851	61954
560	78961	61789
561	79071	61625
562	79185	61463
563	79346	61338
564	79459	61176
565	79684	61100
566	79935	61044
567	80179	60981
568	80374	60881
569	80495	60724
570	80640	60585
571	80788	60450
572	80922	60303
573	81027	60135
574	81145	59977
575	81263	59819
576	81382	59661
577	81497	59501
578	81605	59336
579	81725	59180
580	81810	58999
581	81927	58841
582	82030	58673
583	82140	58510
584	82239	58341
585	82347	58177
586	82457	58015
587	82566	57852
588	82676	57691
589	82786	57529
590	82911	57378
591	83021	57217
592	83132	57057
593	83239	56894
594	83364	56743
595	83468	56579
596	83569	56412
597	83674	56249
598	83780	56086
599	83881	55921
600	83991	55761
601	84100	55601
602	84211	55442
603	84323	55285
604	84434	55126
605	84542	54966
606	84654	54809
607	84780	54660
608	84866	54487
609	84972	54326
610	85094	54176
611	85196	54013
612	85303	53854
613	85402	53689
614	85521	53538
615	85637	53384
616	85747	53227
617	85854	53068
618	85974	52918
619	86085	52761
620	86200	52608
621	86308	52450
622	86414	52292
623	86523	52136
624	86635	51981
625	86747	51826
626	86854	51669
627	86970	51517
628	87087	51366
629	87208	51217
630	87326	51067
631	87458	50924
632	87583	50778
633	87694	50624
634	87816	50477
635	87924	50321
636	88034	50167
637	88140	50010
638	88257	49860
639	88370	49708
640	88479	49554
641	88593	49402
642	88702	49248
643	88813	49095
644	88923	48942
645	89034	48790
646	89149	48639
647	89258	48486
648	89363	48330
649	89470	48176
650	89572	48019
651	89679	47865
652	89790	47714
653	89897	47560
654	90011	47410
655	90121	47258
656	90236	47109
657	90354	46962
658	90467	46812
659	90579	46662
660	90663	46497
661	90769	46344
662	90881	46194
663	90985	46040
664	91093	45889
665	91192	45733
666	91302	45582
667	91411	45431
668	91523	45282
669	91631	45131
670	91742	44982
671	91852	44832
672	91969	44686
673	92079	44536
674	92192	44388
675	92303	44240
676	92425	44096
677	92529	43944
678	92637	43794
679	92748	43646
680	92857	43496
681	92965	43347
682	93073	43197
683	93182	43049
684	93292	42901
685	93398	42750
686	93502	42600
687	93606	42449
688	93708	42298
689	93817	42150
690	93920	41999
691	94027	41850
692	94137	41702
693	94273	41567
694	94412	41432
695	94741	41381
696	95149	41363
697	95443	41295
698	95640	41184
699	95792	41053
700	95956	40928
701	96118	40802
702	96309	40688
703	96472	40562
704	96629	40433
705	96774	40299
706	96911	40162
707	97039	40021
708	97145	39872
709	97253	39723
710	97362	39574
711	97471	39426
712	97584	39279
713	97693	39132
714	97804	38984
715	97914	38837
716	98025	38690
717	98135	38543
718	98247	38396
719	98355	38249
720	98457	38099
721	98562	37950
722	98668	37802
723	98775	37654
724	98880	37506
725	98997	37362
726	99086	37208
727	99182	37057
728	99303	36915
729	99412	36768
730	99530	36626
731	99645	36482
732	99757	36337
733	99880	36196
734	99988	36050
735	100094	35903
736	100203	35757
737	100322	35615
738	100432	35470
739	100536	35323
740	100648	35179
741	100753	35032
742	100862	34887
743	100970	34742
744	101081	34598
745	101204	34458
746	101316	34314
747	101428	34171
748	101536	34026
749	101642	33880
750	101749	33735
751	101855	33590
752	101970	33448
753	102076	33303
754	102181	33158
755	102291	33014
756	102418	32876
757	102526	32732
758	102636	32589
759	102748	32447
760	102868	32306
761	102984	32165
762	103102	32025
763	103207	31880
764	103320	31739
765	103428	31595
766	103534	31451
767	103652	31311
768	103755	31167
769	103864	31024
770	103972	30881
771	104082	30739
772	104189	30596
773	104297	30453
774	104413	30313
775	104522	30171
776	104627	30028
777	104734	29885
778	104839	29742
779	104949	29601
780	105048	29456
781	105156	29314
782	105266	29173
783	105373	29031
784	105507	28896
785	105614	28755
786	105725	28614
787	105835	28473
788	105949	28333
789	106056	28192
790	106162	28050
791	106269	27909
792	106382	27769
793	106482	27626
794	106590	27485
795	106707	27347
796	106815	27206
797	106941	27070
798	107052	26930
799	107164	26791
800	107273	26651
801	107381	26510
802	107485	26369
803	107599	26230
804	107714	26092
805	107820	25951
806	107926	25811
807	108034	25671
808	108160	25536
809	108270	25396
810	108380	25257
811	108494	25119
812	108607	24980
813	108719	24842
814	108830	24703
815	108935	24563
816	109047	24425
817	109152	24285
818	109276	24150
819	109427	24020
820	109537	23882
821	109846	23786
822	110269	23715
823	110430	23587
824	110558	23451
825	110692	23317
826	110811	23180
827	110945	23046
828	111076	22912
829	111205	22777
830	111343	22643
831	111475	22509
832	111610	22375
833	111749	22242
834	111876	22107
835	111998	21970
836	112108	21832
837	112214	21693
838	112323	21554
839	112433	21415
840	112538	21276
841	112645	21137
842	112754	20999
843	112862	20860
844	112971	20722
845	113081	20584
846	113201	20448
847	113292	20307
848	113403	20169
849	113508	20030
850	113621	19893
851	113726	19755
852	113832	19617
853	113935	19478
854	114039	19340
855	114149	19202
856	114260	19065
857	114368	18928
858	114483	18791
859	114630	18660
860	114747	18524
861	114867	18389
862	114983	18253
863	115098	18117
864	115212	17981
865	115324	17844
866	115442	17709
867	115549	17571
868	115664	17436
869	115789	17301
870	115910	17166
871	116028	17031
872	116152	16897
873	116272	16762
874	116391	16627
875	116515	16493
876	116629	16357
877	116741	16221
878	116854	16085
879	116969	15950
880	117089	15815
881	117222	15682
882	117340	15547
883	117454	15412
884	117572	15277
885	117691	15143
886	117810	15008
887	117928	14873
888	118044	14739
889	118146	14602
890	118261	14467
891	118373	14332
892	118462	14194
893	118580	14059
894	118671	13922
895	118786	13787
896	118901	13653
897	119020	13519
898	119133	13384
899	119245	13249
900	119362	13115
901	119474	12980
902	119585	12845
903	119694	12710
904	119819	12577
905	119928	12442
906	120039	12308
907	120148	12173
908	120273	12040
909	120391	11906
910	120513	11773
911	120631	11639
912	120740	11505
913	120857	11371
914	120946	11235
915	121058	11101
916	121183	10968
917	121307	10835
918	121423	10702
919	121539	10568
920	121656	10435
921	121768	10301
922	121886	10168
923	121975	10032
924	122103	9900
925	122219	9766
926	122331	9633
927	122430	9498
928	122548	9365
929	122637	9230
930	122746	9097
931	122838	8962
932	122949	8829
933	123055	8695
934	123165	8562
935	123274	8429
936	123399	8296
937	123512	8163
938	123623	8030
939	123727	7897
940	123843	7764
941	123952	7631
942	124057	7498
943	124137	7364
944	124254	7231
945	124381	7099
946	124503	6967
947	124887	6850
948	125141	6725
949	125520	6606
950	125730	6478
951	125892	6347
952	126080	6218
953	126194	6084
954	126323	5952
955	126540	5824
956	126699	5692
957	126865	5561
958	126983	5428
959	127102	5295
960	127214	5162
961	127322	5029
962	127440	4896
963	127550	4763
964	127632	4629
965	127740	4496
966	127837	4362
967	127946	4229
968	128065	4097
969	128174	3964
970	128291	3831
971	128410	3699
972	128499	3565
973	128616	3433
974	128726	3300
975	128831	3167
976	128936	3035
977	129052	2903
978	129153	2770
979	129262	2638
980	129371	2505
981	129478	2373
982	129587	2241
983	129707	2109
984	129801	1976
985	129918	1844
986	130032	1712
987	130123	1580
988	130230	1448
989	130337	1316
990	130448	1184
991	130550	1052
992	130663	921
993	130776	789
994	130893	657
995	130984	526
996	131093	394
997	131203	262
998	131295	131
999	131407	0
